xx 2000 IAU Theory of Nutation (106 term) (Sorted for largest A terms)
xx   a2  a3  a4  a5      A       B       C       D    E    F         #  all are 0.0001"
  0   0   0   0   1 -171996     -84.2  92025    8.9  5173.2 1529.9   1
  0   0   2  -2   2  -13187       5.3   5736   -3.1   322.2  117.3   2
  0   0   2   0   2   -2274       1.0    977   -0.5    54.8   20.2   3
  0   0   0   0   2    2053.2    -1.0   -893.7  0.5   -50.5  -18.3   4
  0  -1   0   0   0   -1426       4.3     54   -0.1     3.0  -12.7   5
  1   0   0   0   0     712       0.1     -7    0.0     0.0   -6.3   6
  0   1   2  -2   2    -517       1.5    224   -0.6    12.6    4.6   8
  0   0   2   0   1    -386      -0.4    200    0.0    11.3    3.4   9
  1   0   2   0   2    -301       0.0    129   -0.1     7.3    2.7   7
  0  -1   2  -2   2     217      -0.5    -95    0.3    -5.3   -1.9  10
 -1   0   0   2   0     158       0.0     -1    0.0     0.0    1.4  13
  0   0   2  -2   1     129       0.1    -70    0.0    -4.0   -1.2  11
 -1   0   2   0   2     123       0.0    -53    0.0    -3.0   -1.1  12
  1   0   0   0   1      63       0.1    -33    0.0    -1.8   -0.6  16
  0   0   0   2   0      63       0.0     -2    0.0     0.0   -0.6  15
 -1   0   2   2   2     -59       0.0     26    0.0     1.5    0.5  17
 -1   0   0   0   1     -58      -0.1     32    0.0     1.8    0.5  21
  1   0   2   0   1     -51       0.0     27    0.0     1.5    0.5  20
 -2   0   0   2   0     -48       0.0      1    0.0     0.0    0.0  22
 -2   0   2   0   1      46       0.0    -24    0.0    -1.3    0.0  29     ### diff to here
  0   0   2   2   2     -38        0      16      0      0      0     42
  2   0   2   0   2     -31        0      13      0      0      0     45
  2   0   0   0   0      29        0      -1      0      0      0     43
  1   0   2  -2   2      29        0     -12      0      0      0     44
  0   0   2   0   0      26        0      -1      0      0      0     46
  0   0   2  -2   0     -22        0       0      0      0      0     15
 -1   0   2   0   1      21        0     -10      0      0      0     47
  0   2   0   0   0      17      -0.1      0      0      0      0     16
  0   2   2  -2   2     -16       0.1      7      0      0      0     18
 -1   0   0   2   1      16        0      -8      0      0      0     48
  0   1   0   0   1     -15        0       9      0      0      0     17
  1   0   0  -2   1     -13        0       7      0      0      0     49
  0  -1   0   0   1     -12        0       6      0      0      0     19
  2   0  -2   0   0      11        0       0      0      0      0      4
 -1   0   2   2   1     -10        0       5      0      0      0     50
  1   0   2   2   2      -8        0       3      0      0      0     54
  0  -1   2   0   2      -7        0       3      0      0      0     53
  0   0   2   2   1      -7        0       3      0      0      0     58
  1   1   0  -2   0      -7        0       0      0      0      0     51
  0   1   2   0   2       7        0      -3      0      0      0     52
 -2   0   0   2   1      -6        0       3      0      0      0     20
  0   0   0   2   1      -6        0       3      0      0      0     57
  2   0   2  -2   2       6        0      -3      0      0      0     56
  1   0   0   2   0       6        0       0      0      0      0     55
  1   0   2  -2   1       6        0      -3      0      0      0     58
  0   0   0  -2   1      -5        0       3      0      0      0     60
  0  -1   2  -2   1      -5        0       3      0      0      0     21
  2   0   2   0   1      -5        0       3      0      0      0     62
  1  -1   0   0   0       5        0       0      0      0      0     61
  1   0   0  -1   0      -4        0       0      0      0      0     24
  0   0   0   1   0      -4        0       0      0      0      0     65
  0   1   0  -2   0      -4        0       0      0      0      0     63
  1   0  -2   0   0       4        0       0      0      0      0     64
  2   0   0  -2   1       4        0      -2      0      0      0     22
  0   1   2  -2   1       4        0      -2      0      0      0     23
  1   1   0   0   0      -3        0       0      0      0      0     66
  1  -1   0  -1   0      -3        0       0      0      0      0      6
 -1  -1   2   2   2      -3        0       1      0      0      0     69
  0  -1   2   2   2      -3        0       1      0      0      0     72
