xx  Planetary data for 1996 IAU Theory of Nutation
xx    a2  a3  a4  a5  a6  a7  a8  a9  a10  A     B    C   D
   0   2   0  -2   0   0   2   0  -2   1   28    0    0  -15       1
  18 -16   0   0   0   0   0   0  -1   0   23   10    0    0       2
  -8  12   0   0   0   0  -1   1   0   1  120   60   32  -64       3
   0   0   2   0   0   0   1  -1   0   0   27   -8    0    0       4
   0  -1   2   0   0   0   0   0   0   1  -46  -43  -23   25       5
   3  -4   0   0   0   0   1   0  -1   0    0   13    0    0       6
   5  -6   0   0   0   0   2  -2   0   0    0   23    0    0       7
   6  -8   0   0   0   0   2   0  -2   0    8   -2    0    0       8
   0   8 -15   0   0   0   0   0   0   0    5   -2    0    0       9
   0  -2   0   3   0   0  -2   0   2   1    9   -2    0   -5      10
   0   2   0  -3   0   0   2   0  -2   0  -35   -6    0    0      11
   0   1   0  -1   0   0   1   0  -1   0   -5    0    0    0      12
   0   1   0   1   0   0   1  -1   0   0   -2   -8    0    0      13
   0   0   0   1   0   0   0   0   0   1    2   -7    0    0      14
   0  -1   0   0  -1   0  -1   1   0   1   17    8    4   -9      15
   0   0   0   0   1   0   0   0   0   0    1    6    0    0      16
   0   0   0   0   1   1   0   0   0   0    5    0    0    0      17
   0  -1   0   0   1   0  -1   1   0   1   -7   -1    0    0      18
   8 -13   0   0   0   0   0   0   0   1    5    7    0    0      19
  18 -16   0   0   0   0   0   0  -1   1   -7   -3    0    0      20
   0   0   0  -2   5   0   0   0   0   1    8    2    0    0      21
   0  -4   8  -3   0   0   0   0   0   1    8   30   16   -4      22
   0   4  -8   3   0   0   0   0   0   1   -8   29   16    4      23
   0   0   0   2  -5   0   0   0   0   1   -7    2    0    0      24
   0   2   0  -2   0   0   2   0  -2   0  -44    0    0    0      25
 -18  16   0   0   0   0   0   0   1   1    6   -3    0    0      26
  -8  13   0   0   0   0   0   0   0   1   -4    6    0    0      27
   0   0  -2   0   0   0  -1   1   0   1   27    8    4  -15      28
   0   1  -2   0   0   0   0   0   0   0  -46   44    0    0      29
   0  -2   2   0   0   0  -1   1   0   1    0   -5    0    0      30
   0   0   0   0   2   1   0   0   0   0    5   10    6   -3      31
   0  -1   0   0   2   0  -1   1   0   1   -5  -11   -6    3      32
   0   0   0   0   2   2   0   0   0   0  -12    0    0    5      33
  -5   6   0   0   0   0  -2   2   0   1   -2  -44  -23    0      34
   0   2   0  -3   0   0   2   0  -2   1   -5    0    0    0      35
   0  -1   0  -1   0   0  -1   1   0   1   -5   19   10    3      36
   0   0   0   1   0  -1   0   0   0   0    2    6    0    0      37
   0   0   0   1   0   0   0   0   0   0   -8   25    0    0      38
   0   0   0   1   0   1   0   0   0   0    0    5    0    0      39
   0  -1   0   1   0   0  -1   1   0   1    0   -5    0    0      40
   3  -3   0   0   0   0   2   0  -2   0  -14    0    0    0      41
   0  -2   0   2   0   0  -2   0   2   1    5    0    0    0      42
   3  -5   0   0   0   0   0   0   0   0  -22    7    0    0      43
   3  -5   0   0   0  -1   0   0   0   0   -1   -7    3   -1      44
   3  -5   0   0   0  -2   0   0   0   0  211    0    0   96      45
   0   2  -4   0   0   0   0   0   0   0   -8   14    0    0      46
   0   2  -4   0   0  -2   0   0   0   0    5    0    0    0      47
   5  -8   0   0   0  -2   0   0   0   0    0  -26   13    0      48
  -5   7   0   0   0   0  -1   1   0   1   14    3    1   -7      49
   0   0   0   2   0   1   0   0   0   0    4   27   12   -2      50
   0  -1   0   2   0   0  -1   1   0   1   -3  -14   -8    1      51
   0   0   0   2   0   2   0   0   0   0 -116    0    0   51      52
  -3   3   0   0   0   0  -2   2   0   1   12    0    0   -6      53
   0  -2   0   2   0   0  -2   2   0   1    5    0    0    0      54
   2  -3   0   0   0   0   0   0   0   0    0   63    0    0      55
   0   0   0   3   0   2   0   0   0   0  -12    0    0    5      56
   1  -2   0   0   0   0   0   0   0   0    0   -9    0    0      57
   0   2  -3   0   0   0   0   0   0   0   -8    5    0    0      58
   0   1  -1   0   0   0   0   0   0   0   -6    0    0    0      58
   4  -7   0   0   0  -2   0   0   0   0    0    6    0    0      60
   4  -6   0   0   0  -2   0   0   0   0  -52    0    0  -23      61
   4  -6   0   0   0  -1   0   0   0   0    0    9   -5    1      62
   1  -1   0   0   0   0   0   0   0   0  153    0    0    0      63
   1  -1   0   0   0   1   0   0   0   0    0   -6   -5   -1      64
   0   1   0  -3   0  -2   0   0   0   0  -11    0    0   -5      65
   2  -4   0   0   0  -1   0   0   0   0    0   -8    0    0      66
   2  -4   0   0   0  -2   0   0   0   0   47    0    0   20      67
   0   1   0  -2   0   0   0   0   0   0  -18   27    0    0      68
   0   3  -4   0   0   0   0   0   0   0   -8    5    0    0      69
   3  -4   0   0   0   0   0   0   0   0    0   29    0    0      70
   0   1   0  -1   0   0   0   0   0   0 -123   -3    0    0      71
   0   2  -2   0   0   0   0   0   0   0  -38    0    0    0      72
   0   1   0   0  -1   0   0   0   0   0   -8    0    0    0      73
   0   0   2   0   0   2   0   0   0   0   -7    0    0    0      74
   0   1   0   1   0   2   0   0   0   0  -25    0    0   11      75
   3  -6   0   0   0  -2   0   0   0   0    0   -5    0    0      76
   5  -7   0   0   0  -2   0   0   0   0  -21    0    0   -9      77
   0   1   0   2   0   2   0   0   0   0   -3   -5    0    0      78
   2  -2   0   0   0  -1   0   0   0   0    0    5    0    0      79
   2  -2   0   0   0   0   0   0   0   0  -60    0    0    0      80
   1  -3   0   0   0  -2   0   0   0   0  -11    0    0   -5      81
   1  -3   0   0   0  -1   0   0   0   0    0   -5    0    0      82
   0   2   0  -3   0   0   0   0   0   0    8    2    0    0      83
   2  -5   0   0   0  -2   0   0   0   0    0  -13    6    0      84
   6  -8   0   0   0  -2   0   0   0   0  -12    0    0   -5      85
   0   2   0  -2   0   0   0   0   0   0   39    0    0    0      86
   3  -3   0   0   0   0   0   0   0   0   10    0    0    0      87
   3  -3   0   0   0   2   0   0   0   0    5   -2    0    0      88
   0   2   0  -1   0   2   0   0   0   0  -15   -3   -1    7      89
   0   3  -2   0   0   2   0   0   0   0    8   -7    0    0      90
   8 -15   0   0   0  -2   0   0   0   0   -6  -10    4   -3      91
   0   6  -8   3   0   2   0   0   0   0   12  -42  -18   -5      92
   0   2   0   0   0   2   0   0   0   0   -9    0    0    0      93
   0   2  -8   3   0  -2   0   0   0   0   12  -42   18    5      94
   8 -11   0   0   0   2   0   0   0   0   -6  -10   -4   13      95
   0   1   2   0   0   2   0   0   0   0   -8   -7    0    0      96
   0   2   0   1   0   2   0   0   0   0   17   -1    0   -7      97
   3  -7   0   0   0  -2   0   0   0   0    7   -2    0    0      98
   2  -1   0   0   0   2   0   0   0   0    0  -17   -8    0      99
   7  -9   0   0   0  -2   0   0   0   0   -7    0    0    0     100
   4  -4   0   0   0   0   0   0   0   0   11    0    0    0     101
   1   1   0   0   0   2   0   0   0   0  -30    0    0   13     102
   0   3   0  -2   0   2   0   0   0   0    7   -9   -4   -3     103
   3  -2   0   0   0   2   0   0   0   0    0  -11   -5    0     104
   0   3   0  -1   0   2   0   0   0   0   52    2    0  -22     105
   0   4  -2   0   0   2   0   0   0   0   14    0    0   -6     106
   8 -10   0   0   0  -2   0   0   0   0   -5    0    0    0     107
   5  -5   0   0   0   0   0   0   0   0    7    0    0    0     108
   2   0   0   0   0   2   0   0   0   0   39    0    0  -17     109
   0   4   0  -2   0   2   0   0   0   0  -18    0    0    8     110
  18 -16   0   0   0   0   0   2  -1   2  -13   -6   -3    5     111
 -18  16   0   0   0   0   0   2   1   2   13   -6   -3   -5     112
xx  Planetary data  for 1980 IAU Theory of Nutation
xx    a2   a3  a4  a5   a6    a7    a8  a9  a10   A   B    C   D
  0    0    0   0   0    0     2    0   0   0    -1   0    0   0     1    183
  1    0   -2  -1   3    0    -1    0   0   0     0  -1    0   0     2  12924
  0    0    0   0   0    1    -2    0   0   0     0  -1    0   0     3    975
  0    0    0   0   0    1    -1    0   0   0    16   0    0   0     4    584
  0    0    0   0   0    1     1    0   0   0    -4   0    0   1     5    139
  0    0    0   0   0    1    -3    0   0   0    -1   0    0   0     6    266
  0    0    0   0   0    2    -4    0   0   0     4   0    0   3     7    488
  0    0    0   0   0    2    -3    0   0   0     0   7    0   0     8   1455
  0    0    0   0   0    2    -5    0   0   0     0  -1    1   0     9    209
  0    0    0   0   0    2    -2    0   0   0    -6   1    0   0    10    292
  0    0    0   0   0    2    -1    0   0   0     0  -2   -1   0    11    162
  0    0    0   0   0    2     0    0   0   0     4   0    0  -2    12    112
  0    0    0   0   0    3    -7    0   0   0     1   0    0   0    13    172
  0    0    0   0   0    3    -6    0   0   0     0  -1    0   0    14    325
  0    0    0   0   0    3    -5    0   0   0    20  -4    1   7    15   2959
  0    0    0   1   0   -3     5    0   0   0     0   1    0   0    16   5240
  0    0    0   0   0    3    -4    0   0   0     0   4    0   0    17    417
  0    0    0   0   0    3    -3    0   0   0     2   0    0   0    18    195
  0    2   -2   1   0   -3     3    0   0   0     1   0    0  -1    19   2061
  2    0   -2   0   0   -3     3    0   0   0     1   0    0   0    20   3562
  0    0    0   0   0    3    -2    0   0   0     0  -1   -1   0    21    127
  0    0    0   0   0    4    -7    0   0   0     0   1    0   0    22    734
  0    0    0   0   0    4    -6    0   0   0    -5   1   -1  -2    23    728
  0    0    0   0   0    4    -4    0   0   0     1   0    0   0    24    146
  0    0    0   0   0    5    -8    0   0   0     0  -3    2   0    25   2864
  0    0    0   0   0    5    -7    0   0   0     2   0    0   1    26    324
  0    2   -2   1   0   -5     6    0   0   0     0  -4   -2   0    27   4948
  0    2   -2   0   0   -5     6    0   0   0     0   2    0   0    28  18186
  0    0    0   0   0    5    -5    0   0   0    -1   0    0   0    29    117
  0    0    0   0   0    6    -9    0   0   0     0  -1    0   0    30    485
  0    0    0   0   0    6    -8    0   0   0    -1   0    0  -1    31    208
